                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 0.5391,                0.95318,                0.57697,                 1.0103,                0.85354,                 0.8344,                0.88469,                0.71463,                0.86003,                0.83817,                0.89355,                0.70135,                0.71643,                 1.2004,                0.59213,                 1.0893,             0.00053824,             0.00053824,             0.00053824
                    106,                0.55205,                0.97579,                0.58262,                 1.0164,                0.89965,                0.83682,                0.90179,                0.73046,                0.90458,                0.83917,                0.89408,                0.69614,                0.70013,                 1.2422,                0.57868,                  1.085,             0.00053464,             0.00053464,             0.00053464
                    107,                0.54155,                0.95396,                0.55024,                 1.0117,                0.88227,                0.83155,                0.87726,                0.70477,                0.88962,                0.83682,                0.88244,                0.68481,                0.72082,                 1.2178,                0.59361,                 1.1021,             0.00053104,             0.00053104,             0.00053104
                    108,                0.54257,                0.95776,                0.57755,                  1.007,                0.86818,                0.79127,                0.87161,                0.68952,                0.87447,                0.79337,                0.86607,                0.67737,                0.73168,                 1.2426,                0.61178,                 1.1065,             0.00052744,             0.00052744,             0.00052744
                    109,                0.53996,                0.95808,                0.57439,                 1.0038,                0.84465,                0.85402,                0.88593,                0.71776,                0.85997,                0.86894,                0.90298,                0.70525,                 0.7132,                 1.1715,                0.56879,                 1.1138,             0.00052384,             0.00052384,             0.00052384
                    110,                0.53065,                0.92537,                 0.5592,                  1.009,                0.81945,                 0.8744,                 0.8885,                0.71089,                0.83407,                0.88826,                0.90084,                0.70138,                0.69914,                 1.2006,                0.60449,                 1.0917,             0.00052024,             0.00052024,             0.00052024
                    111,                0.55552,                0.97813,                0.58371,                 1.0145,                0.89077,                0.86857,                0.90901,                0.72532,                0.88544,                0.86343,                0.90063,                0.70022,                 0.7175,                 1.2401,                0.59253,                 1.0947,             0.00051664,             0.00051664,             0.00051664
                    112,                0.53836,                0.98021,                0.57922,                  1.016,                0.85853,                0.85493,                0.91222,                0.72982,                0.85203,                0.85058,                0.90031,                0.70282,                0.69302,                 1.2171,                0.60011,                  1.087,             0.00051304,             0.00051304,             0.00051304
                    113,                0.54712,                0.93822,                0.56336,                 1.0154,                0.87741,                 0.8363,                 0.8917,                0.72694,                0.88891,                0.84833,                0.90244,                0.70199,                0.71662,                 1.2316,                0.59948,                 1.0934,             0.00050944,             0.00050944,             0.00050944
                    114,                0.54121,                0.95443,                0.55769,                 1.0016,                0.82975,                0.87608,                0.89907,                0.72551,                0.82823,                0.87478,                0.90391,                0.69912,                0.72246,                 1.2123,                0.61571,                 1.1127,             0.00050584,             0.00050584,             0.00050584
                    115,                0.54033,                 0.9687,                0.57211,                  1.012,                0.82255,                0.85007,                0.87786,                0.70879,                 0.8202,                0.85961,                0.87422,                0.68629,                0.71382,                  1.262,                0.62083,                 1.0986,             0.00050224,             0.00050224,             0.00050224
                    116,                0.53286,                0.93265,                0.57095,                 1.0041,                0.88129,                0.83589,                0.90001,                0.72196,                0.88729,                0.83551,                0.89031,                0.70115,                0.72176,                 1.2253,                0.61546,                 1.1097,             0.00049864,             0.00049864,             0.00049864
                    117,                0.53488,                0.93903,                0.56916,                 1.0025,                0.87075,                0.87706,                0.91268,                 0.7276,                0.89524,                 0.8539,                0.90309,                0.71111,                0.69765,                 1.2113,                0.57254,                  1.092,             0.00049504,             0.00049504,             0.00049504
                    118,                0.55021,                0.94836,                0.56597,                 1.0141,                0.88339,                0.84572,                0.90295,                0.73841,                0.88582,                0.85007,                0.90289,                0.70367,                  0.713,                 1.2065,                0.59125,                 1.0911,             0.00049144,             0.00049144,             0.00049144
                    119,                0.53437,                0.93911,                0.54445,                 1.0077,                0.85574,                0.83893,                0.90162,                0.72472,                0.84331,                0.83178,                0.88463,                0.68888,                0.70386,                 1.2715,                0.62213,                 1.0822,             0.00048784,             0.00048784,             0.00048784
                    120,                0.54405,                0.93643,                0.55937,                 1.0097,                0.89347,                0.85506,                0.91257,                0.73192,                0.87018,                0.86549,                0.90895,                0.70613,                 0.7092,                 1.2042,                0.57521,                 1.0885,             0.00048424,             0.00048424,             0.00048424
                    121,                0.53228,                0.95577,                 0.5506,                 1.0038,                0.86257,                0.83442,                 0.9011,                0.73899,                0.88365,                 0.8348,                0.90332,                0.71083,                0.69863,                 1.2203,                0.60895,                 1.0851,             0.00048064,             0.00048064,             0.00048064
                    122,                0.51921,                0.91551,                0.54226,                0.99749,                 0.8429,                0.84608,                 0.8877,                0.70277,                0.84082,                0.84389,                0.88919,                 0.6903,                0.71775,                 1.1933,                 0.6216,                 1.1106,             0.00047704,             0.00047704,             0.00047704
                    123,                0.53067,                 0.9159,                0.54694,                0.99968,                 0.8708,                0.85887,                0.90439,                0.71801,                0.88271,                0.84849,                0.90597,                0.69892,                0.72774,                 1.2088,                0.59161,                  1.114,             0.00047344,             0.00047344,             0.00047344
                    124,                0.53258,                0.92467,                0.54169,                0.99589,                0.85364,                0.85677,                0.89058,                0.71844,                0.87583,                 0.8565,                 0.9146,                0.69795,                0.71278,                 1.1906,                0.59854,                  1.104,             0.00046984,             0.00046984,             0.00046984
                    125,                0.52275,                0.93297,                0.53586,                0.99826,                0.90251,                0.85142,                0.91515,                0.71525,                 0.9002,                0.84969,                0.90664,                0.70131,                0.73509,                 1.1997,                0.60867,                 1.1191,             0.00046624,             0.00046624,             0.00046624
                    126,                0.52803,                0.92565,                0.54227,                0.99489,                0.88388,                0.82999,                 0.8968,                0.73986,                 0.8867,                0.83346,                0.89751,                0.71477,                0.70643,                 1.2008,                0.59156,                 1.0889,             0.00046264,             0.00046264,             0.00046264
                    127,                0.52571,                 0.9189,                0.53885,                0.99993,                  0.813,                0.86001,                0.87983,                0.72773,                0.82286,                0.86182,                0.88182,                0.70232,                 0.7064,                 1.2156,                0.60377,                 1.0908,             0.00045904,             0.00045904,             0.00045904
                    128,                0.52022,                0.94122,                0.53578,                0.99211,                0.89491,                0.83907,                0.89701,                0.72477,                 0.9297,                0.83745,                0.90328,                0.70165,                0.70169,                 1.2042,                0.57958,                 1.0831,             0.00045545,             0.00045545,             0.00045545
                    129,                0.52131,                0.89979,                0.53777,                0.99061,                0.83922,                 0.8619,                0.90419,                0.73112,                0.87108,                0.83475,                0.89676,                0.70809,                0.70664,                 1.2027,                0.59148,                 1.0938,             0.00045185,             0.00045185,             0.00045185
                    130,                0.52369,                0.90572,                0.52761,                 1.0005,                0.89174,                0.84403,                0.90083,                0.74656,                0.89848,                0.85019,                0.90819,                0.71614,                0.69553,                 1.2396,                0.57399,                 1.0911,             0.00044825,             0.00044825,             0.00044825
                    131,                0.51801,                0.89534,                0.53363,                0.98579,                0.84724,                0.82014,                 0.8804,                0.72716,                 0.8425,                0.81679,                0.86826,                0.68877,                0.69871,                 1.2426,                0.61366,                  1.087,             0.00044465,             0.00044465,             0.00044465
                    132,                0.51634,                0.91562,                0.52798,                0.99217,                0.88839,                0.81884,                0.89811,                0.72411,                0.89244,                0.82394,                0.90386,                0.70322,                0.70024,                 1.2103,                 0.6129,                 1.0949,             0.00044105,             0.00044105,             0.00044105
                    133,                0.52667,                 0.9191,                0.54263,                 1.0026,                0.85665,                0.82659,                0.87185,                0.70679,                0.88201,                 0.8488,                0.88802,                0.69298,                0.72199,                 1.2184,                0.59882,                 1.1135,             0.00043745,             0.00043745,             0.00043745
                    134,                0.52832,                0.91493,                0.52181,                0.99731,                0.88886,                0.82712,                0.87129,                 0.7116,                0.90671,                0.84134,                0.88893,                0.69418,                0.72124,                 1.2112,                0.57646,                 1.1175,             0.00043385,             0.00043385,             0.00043385
                    135,                0.51788,                0.91104,                0.52047,                0.98835,                0.90112,                0.82455,                0.89753,                0.73177,                0.90928,                0.82852,                0.90729,                0.71133,                0.71076,                 1.1969,                0.56212,                 1.1062,             0.00043025,             0.00043025,             0.00043025
                    136,                0.51867,                0.88263,                0.52308,                   0.99,                0.82527,                0.89175,                0.89779,                0.72683,                0.86251,                0.85223,                0.90691,                0.70846,                 0.7098,                 1.2216,                0.57515,                 1.0995,             0.00042665,             0.00042665,             0.00042665
                    137,                0.51635,                0.89328,                0.51041,                0.98759,                0.85377,                 0.8233,                0.88327,                0.73352,                0.84987,                0.81979,                0.87383,                0.70309,                0.69063,                 1.1917,                0.56365,                 1.0873,             0.00042305,             0.00042305,             0.00042305
                    138,                0.49385,                0.88197,                0.50798,                0.98227,                0.87148,                0.89027,                0.90487,                0.75823,                0.87761,                0.89489,                 0.9139,                0.72588,                0.69325,                  1.197,                0.56708,                 1.0919,             0.00041945,             0.00041945,             0.00041945
                    139,                0.51404,                0.89857,                0.52077,                0.99477,                0.89227,                0.83776,                0.89353,                0.72572,                0.89549,                0.84312,                0.89145,                0.69592,                 0.7147,                 1.2074,                0.58372,                 1.1027,             0.00041585,             0.00041585,             0.00041585
                    140,                0.51318,                0.90401,                0.52302,                0.99191,                0.86317,                0.85145,                0.89274,                0.73292,                0.87254,                0.85847,                0.89657,                0.70465,                0.69471,                   1.22,                0.56692,                 1.0828,             0.00041225,             0.00041225,             0.00041225
                    141,                0.50348,                0.87653,                0.50066,                0.98425,                 0.8863,                0.84912,                0.90181,                0.73891,                0.89314,                0.85666,                0.90566,                0.70963,                0.70004,                 1.2429,                0.57889,                 1.0874,             0.00040865,             0.00040865,             0.00040865
                    142,                0.50616,                0.87674,                0.50213,                 0.9838,                0.84886,                0.85544,                0.90498,                0.74182,                0.88745,                0.81506,                0.90067,                0.71244,                0.68138,                 1.2185,                0.58186,                 1.0666,             0.00040505,             0.00040505,             0.00040505
                    143,                0.50169,                0.88806,                0.50494,                0.98425,                0.91161,                0.84666,                0.91195,                0.74393,                0.92013,                0.84378,                0.90488,                0.71252,                0.69129,                 1.1941,                0.57075,                 1.0873,             0.00040145,             0.00040145,             0.00040145
                    144,                0.50066,                0.89547,                 0.5096,                0.98457,                0.89399,                0.85833,                0.90925,                0.73706,                0.88644,                0.85256,                0.89521,                0.71338,                0.70004,                  1.218,                 0.5598,                  1.078,             0.00039785,             0.00039785,             0.00039785
                    145,                0.50013,                0.88976,                0.49858,                0.98618,                0.86677,                0.82787,                 0.8983,                 0.7377,                0.86441,                0.82841,                0.89172,                0.70756,                0.69866,                 1.2433,                 0.5786,                 1.0895,             0.00039425,             0.00039425,             0.00039425
                    146,                0.50631,                0.90192,                0.51577,                0.98987,                0.88122,                0.82705,                0.89475,                0.73589,                0.87754,                0.82569,                0.88924,                0.70952,                0.69796,                 1.1968,                0.57777,                 1.0851,             0.00039065,             0.00039065,             0.00039065
                    147,                0.51691,                0.91362,                 0.5129,                0.99743,                0.88009,                0.84015,                0.90409,                0.74472,                0.87779,                0.83852,                 0.8984,                 0.7144,                0.68761,                 1.1814,                0.57174,                 1.0875,             0.00038705,             0.00038705,             0.00038705
                    148,                0.51138,                0.89614,                0.50882,                0.99217,                0.88151,                  0.843,                 0.9153,                0.74923,                0.87814,                0.84179,                0.90477,                0.72172,                0.69456,                 1.2292,                0.56115,                 1.0809,             0.00038345,             0.00038345,             0.00038345
                    149,                0.50029,                0.86942,                0.49861,                0.97912,                  0.881,                0.84444,                0.89864,                0.73456,                0.87423,                0.83975,                0.88806,                 0.7075,                0.68958,                  1.284,                0.56773,                  1.076,             0.00037985,             0.00037985,             0.00037985
                    150,                0.49397,                0.86954,                0.50049,                0.98515,                 0.8884,                0.86141,                0.90808,                0.74773,                0.88607,                0.85922,                 0.9067,                 0.7222,                 0.6878,                 1.2353,                0.55744,                 1.0787,             0.00037625,             0.00037625,             0.00037625
                    151,                 0.4975,                 0.8788,                0.50752,                0.97614,                0.88263,                0.84334,                 0.8953,                0.75077,                0.87781,                 0.8421,                0.89268,                0.71277,                0.65429,                 1.2372,                0.57237,                 1.0468,             0.00037265,             0.00037265,             0.00037265
                    152,                0.49555,                0.87164,                0.49259,                0.98552,                0.84318,                0.86709,                0.88877,                0.73542,                0.84651,                0.86975,                0.89362,                0.71352,                0.69491,                 1.2284,                0.58121,                 1.0831,             0.00036905,             0.00036905,             0.00036905
                    153,                0.50273,                0.87718,                0.50191,                0.99076,                0.83023,                 0.8611,                0.90164,                0.74138,                0.83554,                0.86166,                0.89861,                0.71524,                0.69133,                 1.2224,                0.56741,                 1.0822,             0.00036545,             0.00036545,             0.00036545
                    154,                0.50067,                0.88435,                 0.5007,                0.98059,                0.84604,                0.86357,                  0.893,                 0.7452,                0.84409,                 0.8623,                0.88688,                 0.7168,                0.69175,                 1.1936,                0.55364,                 1.0976,             0.00036185,             0.00036185,             0.00036185
                    155,                   0.49,                0.85034,                0.48042,                0.97788,                0.86902,                0.88928,                0.90445,                 0.7574,                0.87262,                0.89267,                0.91017,                0.73125,                0.68556,                 1.2032,                0.54621,                 1.0854,             0.00035826,             0.00035826,             0.00035826
                    156,                0.49383,                0.86856,                0.48153,                0.98158,                0.85147,                0.88004,                0.89437,                0.75181,                0.85195,                0.88473,                0.90034,                0.71768,                 0.6851,                 1.2441,                0.56918,                  1.084,             0.00035466,             0.00035466,             0.00035466
                    157,                0.49323,                0.85223,                0.49066,                0.97932,                0.89467,                 0.8689,                0.89796,                0.75235,                0.89327,                0.86675,                0.89683,                0.71069,                 0.6703,                 1.2086,                0.57056,                 1.0769,             0.00035106,             0.00035106,             0.00035106
                    158,                0.50719,                0.85939,                  0.495,                 0.9931,                0.91964,                0.86574,                 0.9057,                0.75255,                0.92709,                0.87255,                0.91159,                0.71896,                0.67876,                 1.2109,                0.57155,                 1.0763,             0.00034746,             0.00034746,             0.00034746
                    159,                0.49636,                0.86217,                0.47807,                0.97285,                0.90072,                0.86451,                 0.9087,                0.75497,                0.90891,                 0.8708,                0.91138,                 0.7223,                0.67728,                 1.2106,                0.52863,                 1.0907,             0.00034386,             0.00034386,             0.00034386
                    160,                0.49498,                0.86997,                0.48306,                0.97795,                0.90403,                0.88118,                0.90122,                0.74042,                0.90934,                0.88536,                 0.9089,                 0.7118,                0.69207,                 1.2236,                0.54554,                  1.094,             0.00034026,             0.00034026,             0.00034026
                    161,                0.48832,                0.87489,                0.47384,                0.97883,                0.88948,                0.85064,                 0.8912,                0.74514,                0.89736,                0.85817,                0.89818,                0.70942,                0.69487,                 1.2454,                0.56761,                 1.0939,             0.00033666,             0.00033666,             0.00033666
                    162,                0.49567,                0.86054,                 0.4731,                 0.9801,                 0.9149,                0.85246,                0.89513,                 0.7374,                0.92049,                0.86216,                0.90086,                0.70913,                 0.6854,                  1.253,                0.54736,                 1.0849,             0.00033306,             0.00033306,             0.00033306
                    163,                 0.4735,                0.83804,                0.46476,                0.96367,                0.88127,                0.86993,                0.90315,                0.74882,                0.88792,                0.87513,                 0.9019,                0.71781,                0.67579,                 1.2387,                0.54722,                 1.0753,             0.00032946,             0.00032946,             0.00032946
                    164,                0.49733,                0.87488,                0.48975,                0.98625,                0.87877,                0.87354,                0.91461,                0.74245,                0.87778,                0.86813,                0.90646,                 0.7172,                0.68264,                 1.2219,                0.53078,                 1.0713,             0.00032586,             0.00032586,             0.00032586
                    165,                 0.4938,                0.87406,                0.48492,                0.97925,                0.87686,                0.90118,                0.91606,                0.76036,                0.87162,                0.89241,                0.91213,                 0.7221,                0.65447,                 1.2302,                 0.5317,                  1.055,             0.00032226,             0.00032226,             0.00032226
                    166,                0.48423,                0.84534,                0.46732,                0.97481,                0.86527,                0.88346,                0.90463,                 0.7532,                0.86638,                0.87338,                0.89788,                0.72021,                0.66079,                  1.239,                0.55274,                 1.0554,             0.00031866,             0.00031866,             0.00031866
                    167,                0.49654,                0.88088,                 0.4763,                0.97871,                0.90074,                0.86858,                0.90684,                0.75845,                0.90794,                 0.8738,                 0.9085,                0.72707,                0.68018,                 1.2296,                0.53548,                   1.08,             0.00031506,             0.00031506,             0.00031506
                    168,                0.49398,                0.85348,                0.46384,                0.97596,                  0.915,                0.87515,                0.91652,                0.76218,                0.92381,                0.88127,                0.91713,                0.72618,                0.67761,                 1.2289,                0.54042,                 1.0714,             0.00031146,             0.00031146,             0.00031146
                    169,                0.47969,                  0.846,                0.46563,                0.96789,                0.86633,                0.87572,                0.90353,                0.74899,                0.87644,                0.88044,                0.90439,                0.71974,                0.67065,                 1.2337,                 0.5488,                 1.0664,             0.00030786,             0.00030786,             0.00030786
                    170,                 0.4939,                0.85248,                0.47048,                 0.9817,                 0.8967,                 0.8766,                0.90911,                0.74215,                0.89293,                0.87309,                0.90425,                0.71472,                0.68194,                 1.2389,                 0.5414,                 1.0796,             0.00030426,             0.00030426,             0.00030426
                    171,                0.47243,                0.83531,                0.46127,                0.96563,                0.84005,                0.88959,                0.89762,                 0.7418,                0.83698,                0.88664,                0.89887,                0.71467,                0.67649,                  1.236,                0.52676,                 1.0793,             0.00030066,             0.00030066,             0.00030066
                    172,                0.47599,                0.84379,                0.46392,                0.97492,                0.89671,                0.87293,                0.90377,                0.74903,                0.90279,                0.87897,                0.90687,                0.72229,                0.67015,                 1.2202,                0.52827,                 1.0713,             0.00029706,             0.00029706,             0.00029706
                    173,                0.48149,                0.84359,                0.46603,                0.97097,                0.89754,                0.84112,                0.89385,                0.74019,                0.90414,                0.84367,                0.89401,                0.70738,                0.68714,                 1.2434,                0.53035,                 1.0822,             0.00029346,             0.00029346,             0.00029346
                    174,                0.47604,                0.83292,                0.45815,                0.97026,                0.92354,                0.82389,                0.90441,                0.75053,                0.92066,                0.82176,                0.90597,                0.71368,                0.69345,                 1.2324,                0.52931,                 1.0884,             0.00028986,             0.00028986,             0.00028986
                    175,                0.49676,                0.84999,                 0.4613,                0.97644,                0.92765,                0.83063,                0.91135,                0.75345,                0.92179,                0.82579,                0.89889,                0.72434,                0.68549,                 1.2182,                0.51959,                 1.0788,             0.00028626,             0.00028626,             0.00028626
                    176,                0.47387,                0.82501,                0.45935,                0.97122,                 0.8358,                0.90381,                0.89693,                0.74875,                0.82914,                0.89755,                0.88927,                 0.7194,                 0.6752,                 1.2149,                0.53042,                 1.0724,             0.00028266,             0.00028266,             0.00028266
                    177,                0.47977,                 0.8484,                0.45654,                0.97621,                0.91681,                0.82728,                0.90894,                0.75625,                0.91292,                0.82377,                 0.9013,                0.73028,                0.68601,                 1.2445,                0.52169,                 1.0948,             0.00027906,             0.00027906,             0.00027906
                    178,                0.48237,                0.82893,                0.46025,                0.97214,                0.88549,                0.88861,                0.91469,                0.76412,                0.87867,                0.88078,                0.90343,                0.73174,                0.67359,                 1.2424,                0.53062,                  1.074,             0.00027546,             0.00027546,             0.00027546
                    179,                0.47224,                0.83167,                0.45963,                0.96896,                0.92902,                0.86963,                0.91892,                 0.7588,                0.92437,                0.86576,                0.91106,                0.73106,                0.69021,                 1.2248,                0.55681,                 1.0869,             0.00027186,             0.00027186,             0.00027186
                    180,                 0.4734,                0.82279,                0.44936,                0.96492,                0.92519,                0.87588,                 0.9193,                0.75647,                0.91822,                0.86963,                0.90743,                 0.7303,                0.68786,                  1.216,                0.53173,                 1.0902,             0.00026826,             0.00026826,             0.00026826
                    181,                0.47518,                0.82788,                0.45879,                0.96809,                0.90927,                0.87712,                0.91764,                0.76102,                0.90352,                0.87279,                0.90828,                0.72827,                0.68111,                 1.2405,                0.53136,                 1.0841,             0.00026466,             0.00026466,             0.00026466
                    182,                0.48349,                0.84591,                0.46446,                0.96825,                0.91811,                0.85797,                0.91388,                0.74934,                0.91295,                0.85304,                 0.9054,                0.72271,                0.67713,                 1.2306,                0.55393,                 1.0856,             0.00026106,             0.00026106,             0.00026106
                    183,                0.46948,                0.82257,                0.44606,                 0.9622,                0.87641,                0.87591,                0.90893,                0.74966,                0.87095,                0.87159,                0.89944,                0.71662,                0.68905,                 1.2341,                0.55609,                 1.0906,             0.00025747,             0.00025747,             0.00025747
                    184,                0.47037,                 0.8235,                0.45116,                0.96655,                0.90456,                0.87199,                0.91593,                0.75341,                0.89874,                 0.8665,                0.90572,                0.72802,                0.68352,                 1.2312,                0.53515,                 1.0884,             0.00025387,             0.00025387,             0.00025387
                    185,                0.47645,                0.83149,                0.43919,                0.96866,                0.93423,                0.84247,                0.91783,                0.75994,                0.92997,                0.83655,                0.90293,                0.72966,                 0.6881,                 1.2552,                0.53923,                 1.0919,             0.00025027,             0.00025027,             0.00025027
                    186,                0.46716,                0.82099,                 0.4484,                0.96125,                0.87398,                0.88678,                0.90468,                0.75883,                0.87953,                 0.8923,                0.90732,                0.72625,                0.67287,                 1.2334,                0.53697,                 1.0798,             0.00024667,             0.00024667,             0.00024667
                    187,                0.47946,                0.82089,                 0.4401,                0.97158,                0.88859,                0.86329,                0.90392,                0.75327,                0.89395,                0.86858,                0.90075,                0.72766,                0.67097,                 1.2202,                0.53449,                 1.0692,             0.00024307,             0.00024307,             0.00024307
                    188,                0.46373,                0.82252,                0.44377,                0.96598,                0.89843,                0.88341,                0.91036,                0.75661,                0.88419,                0.87039,                0.89577,                0.72325,                0.67088,                 1.2488,                0.55204,                 1.0694,             0.00023947,             0.00023947,             0.00023947
                    189,                0.45837,                0.80979,                0.43395,                0.95633,                0.85123,                0.89033,                0.89758,                0.74843,                0.85235,                0.89175,                0.89102,                0.72127,                0.68677,                 1.2343,                0.55841,                 1.0851,             0.00023587,             0.00023587,             0.00023587
                    190,                0.47249,                0.82545,                0.44367,                0.96665,                0.88186,                0.89162,                0.91708,                0.75977,                0.87991,                0.88999,                0.90852,                0.72076,                0.66893,                 1.2157,                0.54339,                 1.0676,             0.00023227,             0.00023227,             0.00023227
                    191,                0.47148,                0.83498,                0.44958,                0.97636,                0.85998,                0.88258,                0.90115,                0.75411,                0.86381,                0.88684,                0.89386,                0.72063,                0.67992,                 1.2438,                0.54077,                 1.0836,             0.00022867,             0.00022867,             0.00022867
                    192,                 0.4746,                0.81784,                0.45283,                0.96658,                0.90948,                0.87791,                0.91126,                0.76553,                0.91453,                0.88174,                0.91655,                 0.7364,                0.67315,                 1.2071,                0.53376,                 1.0805,             0.00022507,             0.00022507,             0.00022507
                    193,                0.46836,                0.81872,                0.44193,                0.96001,                0.89819,                0.89673,                0.91841,                0.76811,                0.89436,                0.89398,                0.91396,                0.73134,                0.67659,                  1.207,                0.53227,                 1.0887,             0.00022147,             0.00022147,             0.00022147
                    194,                0.46241,                0.79812,                 0.4282,                0.96586,                0.90981,                0.87924,                0.92107,                0.76717,                0.90609,                0.87478,                 0.9136,                0.73075,                0.67437,                 1.2132,                0.52626,                 1.0866,             0.00021787,             0.00021787,             0.00021787
                    195,                0.45298,                0.78032,                0.43586,                0.96082,                0.89208,                0.86473,                0.90488,                0.76466,                0.89781,                0.86537,                0.90144,                0.72402,                0.67317,                  1.222,                 0.5317,                  1.079,             0.00021427,             0.00021427,             0.00021427
                    196,                0.46074,                0.80113,                0.43481,                0.96205,                0.86955,                0.89493,                0.90947,                0.76315,                0.86221,                 0.8881,                0.89461,                0.72139,                0.66826,                 1.2059,                0.53634,                 1.0782,             0.00021067,             0.00021067,             0.00021067
                    197,                0.46937,                 0.8026,                0.43878,                0.96322,                0.90824,                0.87347,                 0.9146,                0.76192,                0.90422,                0.86995,                0.90666,                0.72297,                0.66891,                 1.2062,                0.52224,                 1.0808,             0.00020707,             0.00020707,             0.00020707
                    198,                0.46732,                0.80655,                0.43127,                 0.9664,                0.92076,                0.88045,                0.93217,                0.77909,                0.91814,                0.87858,                0.92509,                0.74371,                 0.6694,                 1.1988,                0.50236,                 1.0759,             0.00020347,             0.00020347,             0.00020347
                    199,                0.46271,                0.81224,                0.43868,                0.96119,                0.91095,                0.89958,                0.92624,                 0.7737,                0.91632,                  0.906,                0.92972,                0.74188,                0.66869,                 1.2264,                0.52393,                 1.0671,             0.00019987,             0.00019987,             0.00019987
                    200,                0.46203,                0.79118,                0.42547,                0.95739,                0.87905,                0.88644,                0.91731,                0.77307,                0.88514,                0.89119,                0.91917,                0.73144,                0.66572,                 1.2368,                0.53468,                 1.0715,             0.00019627,             0.00019627,             0.00019627
                    201,                0.46143,                0.78435,                0.43515,                 0.9623,                0.89825,                0.87707,                0.91664,                0.77571,                0.90561,                0.88292,                0.91841,                0.74264,                0.66051,                 1.2417,                0.53846,                 1.0646,             0.00019267,             0.00019267,             0.00019267
                    202,                0.45847,                0.81608,                0.42753,                0.95877,                 0.8853,                0.89591,                0.92298,                0.77156,                0.88152,                 0.8924,                0.91362,                  0.738,                0.66933,                 1.2386,                0.51076,                 1.0733,             0.00018907,             0.00018907,             0.00018907
                    203,                0.46048,                0.80937,                0.44818,                0.96145,                0.88716,                0.89459,                0.92217,                 0.7748,                0.88388,                0.89201,                0.91611,                0.73419,                0.66132,                 1.1887,                0.52319,                 1.0602,             0.00018547,             0.00018547,             0.00018547
                    204,                0.46329,                0.81887,                0.43795,                0.96424,                0.90684,                0.86267,                0.91791,                 0.7704,                0.90355,                0.85972,                0.91181,                0.72738,                0.65949,                 1.2079,                0.51305,                 1.0617,             0.00018187,             0.00018187,             0.00018187
                    205,                0.45469,                0.80072,                0.42766,                0.95586,                0.89915,                0.88275,                0.91727,                0.76618,                0.89528,                0.87924,                0.91182,                0.72989,                0.65783,                 1.2134,                0.50388,                 1.0593,             0.00017827,             0.00017827,             0.00017827
                    206,                0.46471,                0.81865,                0.42616,                0.96543,                0.88724,                0.90555,                 0.9251,                0.76557,                0.88418,                0.90148,                0.91448,                0.73255,                0.67543,                 1.2021,                 0.5136,                 1.0803,             0.00017467,             0.00017467,             0.00017467
                    207,                0.45854,                0.80326,                0.42445,                 0.9601,                0.88952,                0.91137,                0.92594,                 0.7609,                0.88565,                0.90785,                0.91912,                0.72728,                0.67713,                 1.2379,                0.51837,                 1.0828,             0.00017107,             0.00017107,             0.00017107
                    208,                0.45057,                0.81075,                0.41927,                0.95994,                0.90331,                0.88866,                 0.9242,                0.75992,                0.90871,                0.87756,                 0.9151,                0.72583,                0.67705,                 1.2216,                0.52408,                 1.0888,             0.00016747,             0.00016747,             0.00016747
                    209,                0.45816,                0.79074,                0.42393,                0.96101,                0.89357,                0.89235,                0.92488,                0.75807,                0.88968,                0.88883,                0.91864,                0.73168,                0.67288,                 1.2172,                0.51984,                  1.083,             0.00016387,             0.00016387,             0.00016387
                    210,                0.45623,                0.81758,                0.42819,                0.95782,                0.91614,                0.85949,                0.92389,                0.76577,                0.91278,                 0.8564,                0.91775,                0.73259,                0.66592,                 1.1967,                0.51584,                 1.0753,             0.00016027,             0.00016027,             0.00016027
                    211,                0.45738,                0.78541,                0.42072,                0.96014,                0.90758,                0.87089,                0.92288,                0.76264,                0.90596,                0.86722,                0.91426,                0.73177,                0.67079,                 1.2157,                0.52078,                  1.083,             0.00015668,             0.00015668,             0.00015668
                    212,                0.45659,                0.80131,                  0.421,                0.96083,                 0.9096,                0.87497,                0.92275,                0.76514,                0.90873,                0.86902,                0.91434,                0.73324,                  0.672,                 1.2255,                0.52458,                  1.085,             0.00015308,             0.00015308,             0.00015308
                    213,                0.45583,                0.79387,                0.42486,                0.95546,                0.92531,                0.87648,                0.92825,                0.76387,                0.92187,                0.87353,                0.92154,                0.73656,                0.66863,                 1.2235,                0.50861,                 1.0818,             0.00014948,             0.00014948,             0.00014948
                    214,                0.45164,                0.79247,                0.41918,                 0.9599,                0.88849,                0.90002,                0.92521,                0.77368,                0.88614,                0.89783,                0.92181,                0.74161,                0.66329,                 1.2165,                0.51634,                 1.0734,             0.00014588,             0.00014588,             0.00014588
                    215,                0.45488,                0.79022,                0.42031,                0.96029,                0.92847,                0.88945,                0.93275,                0.77166,                0.92361,                 0.8872,                0.92882,                0.74152,                0.67496,                 1.2107,                0.53022,                 1.0871,             0.00014228,             0.00014228,             0.00014228
