                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.73014,                 1.3335,                0.97375,                 1.1389,                 0.6158,                0.74276,                0.70181,                0.51706,                0.61281,                0.71189,                0.68623,                 0.4935,                0.87256,                 1.5455,                 1.1223,                 1.2203,             0.00082981,             0.00082981,             0.00082981
                     25,                0.72159,                 1.3298,                0.94766,                 1.1326,                0.71373,                0.64744,                0.71973,                0.55195,                0.71215,                0.64663,                0.71783,                0.53752,                0.85818,                 1.4212,                0.93812,                 1.2236,             0.00082621,             0.00082621,             0.00082621
                     26,                0.72112,                  1.338,                 0.9617,                  1.139,                0.76207,                0.72742,                0.77632,                0.59131,                0.78988,                0.70877,                0.78995,                 0.5678,                0.84143,                 1.4273,                0.90152,                 1.2031,             0.00082261,             0.00082261,             0.00082261
                     27,                0.71229,                  1.319,                0.92979,                  1.127,                0.78884,                0.77962,                0.81226,                0.62966,                0.79577,                0.78728,                0.82048,                0.60489,                0.80839,                 1.3838,                0.87709,                 1.1893,             0.00081901,             0.00081901,             0.00081901
                     28,                0.69895,                  1.273,                0.89909,                   1.11,                0.75938,                0.71193,                0.77612,                0.59605,                0.76978,                0.71548,                0.77528,                0.58917,                0.84361,                  1.348,                0.86696,                 1.2051,             0.00081541,             0.00081541,             0.00081541
                     29,                0.69972,                 1.2722,                0.90453,                 1.1201,                0.79605,                0.73228,                0.83247,                0.62661,                 0.8021,                0.73935,                0.84729,                0.61262,                0.79807,                 1.3535,                0.84092,                 1.1673,             0.00081181,             0.00081181,             0.00081181
                     30,                0.69951,                 1.2836,                0.90659,                 1.1196,                0.65865,                0.77727,                0.77585,                0.59572,                0.65978,                0.78301,                0.78183,                0.58217,                0.86916,                 1.4156,                0.94867,                 1.2362,             0.00080821,             0.00080821,             0.00080821
                     31,                0.70439,                 1.2563,                 0.9035,                 1.1169,                0.69293,                0.82919,                0.83454,                0.64274,                0.68842,                 0.8253,                0.83199,                0.61946,                0.80064,                 1.3333,                0.85518,                  1.161,             0.00080461,             0.00080461,             0.00080461
                     32,                0.69957,                 1.2379,                0.88549,                 1.1157,                0.76866,                0.78316,                0.82874,                0.62936,                0.76991,                0.77863,                0.81657,                0.61768,                0.80121,                 1.3251,                0.84091,                  1.156,             0.00080101,             0.00080101,             0.00080101
                     33,                0.69839,                 1.2643,                0.87634,                  1.122,                0.77644,                0.72829,                0.80319,                0.61439,                0.76228,                0.72975,                0.79196,                  0.585,                0.82232,                 1.4006,                0.83107,                 1.1886,             0.00079741,             0.00079741,             0.00079741
                     34,                  0.689,                 1.2576,                0.87176,                 1.1078,                0.77251,                0.78348,                 0.8167,                0.64492,                0.77641,                 0.7889,                0.82533,                0.62728,                0.75494,                 1.3108,                0.80945,                 1.1306,             0.00079381,             0.00079381,             0.00079381
                     35,                0.67607,                 1.2304,                0.86641,                 1.0997,                0.77596,                0.72404,                0.81321,                0.63481,                0.77112,                0.71415,                0.80517,                0.61377,                0.80963,                 1.3979,                0.86395,                 1.1776,             0.00079021,             0.00079021,             0.00079021
                     36,                0.66723,                 1.2112,                 0.8553,                 1.0999,                 0.7309,                0.77787,                0.77998,                0.60444,                0.73846,                0.77009,                0.77911,                0.57347,                0.82352,                 1.3705,                0.82772,                 1.1683,             0.00078661,             0.00078661,             0.00078661
                     37,                0.66312,                 1.2079,                0.82668,                 1.0892,                0.76889,                0.78151,                0.82143,                0.64039,                0.77517,                0.78456,                0.83973,                0.62178,                0.79343,                 1.3358,                0.76688,                 1.1567,             0.00078301,             0.00078301,             0.00078301
                     38,                0.67053,                  1.212,                0.85194,                 1.0924,                0.79527,                0.78193,                0.82602,                0.61425,                 0.7911,                0.77602,                0.81497,                0.58921,                0.79148,                 1.3854,                0.79218,                 1.1347,             0.00077941,             0.00077941,             0.00077941
                     39,                0.67088,                 1.2292,                 0.8338,                 1.1004,                 0.7342,                0.83226,                0.84835,                0.65136,                0.72848,                 0.8286,                0.84251,                0.62703,                0.79552,                  1.353,                0.77111,                 1.1521,             0.00077581,             0.00077581,             0.00077581
                     40,                 0.6704,                  1.223,                0.81927,                 1.1001,                0.82896,                0.75478,                0.84653,                0.65959,                0.83343,                0.76237,                0.84601,                0.64378,                0.78213,                 1.3042,                 0.7534,                 1.1402,             0.00077221,             0.00077221,             0.00077221
                     41,                0.66456,                 1.2062,                0.82462,                 1.0929,                0.76382,                0.81058,                0.83692,                0.65134,                0.75867,                0.80722,                0.82625,                0.61731,                 0.7494,                 1.3087,                 0.7578,                  1.107,             0.00076861,             0.00076861,             0.00076861
                     42,                0.65009,                 1.1779,                0.77341,                 1.0802,                0.78003,                0.76102,                0.83734,                0.64643,                0.78516,                0.76155,                0.83281,                0.62669,                0.77283,                 1.2902,                0.79337,                 1.1263,             0.00076501,             0.00076501,             0.00076501
                     43,                0.66036,                 1.1941,                0.80699,                 1.0899,                0.80842,                0.79727,                0.84665,                0.66006,                0.83252,                0.77313,                0.84052,                0.63362,                0.77561,                 1.3422,                0.74049,                 1.1452,             0.00076141,             0.00076141,             0.00076141
                     44,                0.66744,                 1.2005,                0.81486,                 1.0928,                0.86891,                 0.7527,                0.85638,                0.66533,                0.88794,                0.76014,                0.86199,                0.64674,                0.76775,                 1.2873,                0.72876,                 1.1335,             0.00075782,             0.00075782,             0.00075782
                     45,                0.64987,                 1.1754,                0.78371,                 1.0763,                0.75439,                0.82294,                0.83045,                0.66565,                0.76049,                0.83562,                0.83812,                0.64332,                0.76558,                 1.3325,                0.74937,                 1.1368,             0.00075422,             0.00075422,             0.00075422
                     46,                0.62544,                 1.1406,                0.76919,                 1.0758,                0.76749,                0.81036,                0.84826,                0.66755,                0.77022,                0.81474,                0.85345,                 0.6498,                0.77999,                 1.2812,                0.73648,                  1.145,             0.00075062,             0.00075062,             0.00075062
                     47,                0.64007,                 1.1513,                0.76983,                 1.0849,                0.72816,                 0.7839,                0.83846,                0.66338,                 0.7341,                0.77165,                0.82484,                0.63255,                0.75732,                 1.3485,                0.74965,                 1.1233,             0.00074702,             0.00074702,             0.00074702
                     48,                0.64212,                 1.1479,                0.78148,                  1.079,                 0.8257,                 0.7956,                0.85248,                0.67186,                 0.8365,                 0.8071,                0.86441,                0.65143,                0.74367,                 1.2859,                0.71596,                 1.1181,             0.00074342,             0.00074342,             0.00074342
                     49,                0.64385,                 1.1744,                0.77619,                 1.0738,                 0.8062,                0.78245,                0.85736,                0.68096,                0.81008,                0.78678,                0.86424,                0.65473,                0.74756,                 1.2616,                0.71276,                 1.1123,             0.00073982,             0.00073982,             0.00073982
                     50,                0.63589,                 1.1409,                0.75737,                 1.0712,                0.78248,                0.74208,                0.81551,                0.66033,                0.79419,                0.75428,                0.82834,                0.63204,                 0.7598,                 1.3537,                0.74207,                 1.1237,             0.00073622,             0.00073622,             0.00073622
                     51,                0.63871,                 1.1455,                0.74047,                 1.0692,                0.75699,                0.76673,                0.83469,                0.66261,                0.76725,                0.78055,                0.84754,                 0.6397,                0.76254,                 1.2729,                0.75599,                 1.1268,             0.00073262,             0.00073262,             0.00073262
                     52,                0.63631,                 1.1347,                0.74798,                 1.0743,                0.82465,                0.80557,                0.86318,                0.67237,                0.82391,                0.79752,                0.84704,                0.65113,                0.73874,                 1.2853,                0.67958,                 1.1152,             0.00072902,             0.00072902,             0.00072902
                     53,                0.62595,                 1.1013,                0.74931,                 1.0667,                0.82452,                0.83556,                0.87107,                 0.6779,                0.81918,                0.82871,                0.85784,                0.65717,                0.76922,                 1.2854,                0.69074,                 1.1286,             0.00072542,             0.00072542,             0.00072542
                     54,                0.63653,                 1.1273,                0.76806,                 1.0754,                0.81223,                0.79545,                0.85214,                0.67493,                0.82153,                0.80593,                0.86653,                0.65441,                0.74105,                 1.2806,                0.65523,                  1.106,             0.00072182,             0.00072182,             0.00072182
                     55,                0.63073,                  1.131,                0.75268,                 1.0675,                0.85219,                0.80284,                0.87508,                0.68977,                0.84674,                 0.7962,                0.86349,                0.66249,                0.74506,                 1.2778,                0.69193,                 1.1209,             0.00071822,             0.00071822,             0.00071822
                     56,                0.60534,                 1.0741,                0.72327,                 1.0519,                0.83389,                0.82894,                0.86542,                0.67784,                0.85211,                0.80403,                0.86913,                0.66082,                 0.7483,                 1.2967,                0.68685,                 1.1206,             0.00071462,             0.00071462,             0.00071462
                     57,                0.61393,                 1.1116,                0.73201,                 1.0545,                0.80389,                0.77377,                0.87332,                0.68081,                0.78438,                0.76429,                0.85532,                0.66253,                0.74195,                 1.2349,                0.80308,                 1.1148,             0.00071102,             0.00071102,             0.00071102
                     58,                 0.6111,                 1.0814,                0.72321,                 1.0547,                0.80139,                0.83488,                0.87423,                0.68908,                0.81206,                0.84425,                0.89035,                0.66537,                0.74828,                 1.2919,                0.68919,                 1.1088,             0.00070742,             0.00070742,             0.00070742
                     59,                0.61694,                  1.087,                0.71004,                 1.0606,                0.84583,                0.76517,                0.86057,                0.69663,                0.82704,                0.80543,                0.86245,                0.66599,                0.72155,                 1.2716,                0.66785,                 1.0788,             0.00070382,             0.00070382,             0.00070382
                     60,                0.61108,                 1.0668,                0.69986,                 1.0477,                0.79332,                0.84322,                0.86674,                0.69176,                0.80153,                0.83949,                0.87388,                 0.6669,                0.74732,                 1.2525,                0.67697,                 1.1116,             0.00070022,             0.00070022,             0.00070022
                     61,                 0.6222,                 1.1122,                0.70901,                 1.0622,                0.80411,                0.82195,                0.87133,                  0.688,                0.81055,                0.82374,                0.87397,                0.65808,                0.76007,                 1.2931,                0.70725,                 1.1354,             0.00069662,             0.00069662,             0.00069662
                     62,                0.60972,                 1.0895,                0.71079,                 1.0571,                0.84833,                0.81621,                0.88028,                 0.6881,                0.85426,                0.81829,                 0.8719,                 0.6648,                0.79647,                 1.3274,                0.67943,                 1.1643,             0.00069302,             0.00069302,             0.00069302
                     63,                0.61158,                 1.0836,                 0.6856,                 1.0562,                0.80806,                0.85805,                 0.8682,                0.70197,                0.80925,                0.86105,                0.87187,                 0.6803,                0.72004,                 1.2564,                0.68045,                 1.0946,             0.00068942,             0.00068942,             0.00068942
                     64,                0.60692,                 1.0858,                0.71037,                 1.0556,                  0.812,                0.83725,                0.87342,                0.68594,                0.80473,                 0.8315,                0.86177,                0.66884,                0.74755,                 1.2782,                0.68457,                 1.1155,             0.00068582,             0.00068582,             0.00068582
                     65,                0.62449,                  1.108,                0.69871,                  1.055,                0.81512,                0.76643,                0.85927,                0.70044,                0.83272,                0.77256,                0.85574,                0.66733,                0.72719,                 1.2611,                0.65501,                 1.0965,             0.00068222,             0.00068222,             0.00068222
